--dc=256:1:16, 429554.1026501178
--dc=512:1:16, 415457.5300933136
--dc=1024:1:16, 396485.6036778768
--dc=2048:1:16, 385258.47565353126
--dc=4096:1:16, 356802.99380730133
--dc=8192:1:16, 337284.22978579137
--dc=16384:1:16, 358693.85728261166
--dc=32768:1:16, 397686.9932745796
--dc=65536:1:16, 466172.20007849333
--dc=131072:1:16, 509110.9127097966
--dc=128:2:16, 410971.9288101694
--dc=256:2:16, 397142.640184018
--dc=512:2:16, 386957.7787171655
--dc=1024:2:16, 377633.43721851223
--dc=2048:2:16, 358373.2806691026
--dc=4096:2:16, 355560.18861530226
--dc=8192:2:16, 368880.0762370676
--dc=16384:2:16, 433258.0850164662
--dc=32768:2:16, 487057.2317516421
--dc=65536:2:16, 544810.9018374882
--dc=64:4:16, 413336.00064521976
--dc=128:4:16, 396601.4236593061
--dc=256:4:16, 385124.32273297396
--dc=512:4:16, 400757.8207588557
--dc=1024:4:16, 360753.7667739222
--dc=2048:4:16, 363676.5442611601
--dc=4096:4:16, 383798.44075034733
--dc=8192:4:16, 438141.673929345
--dc=16384:4:16, 504005.75124343485
--dc=32768:4:16, 560654.144290113
--dc=32:8:16, 414168.8561291636
--dc=64:8:16, 415248.88263622695
--dc=128:8:16, 408474.2915033345
--dc=256:8:16, 402866.68494953075
--dc=512:8:16, 400081.3221152437
--dc=1024:8:16, 398889.1706317505
--dc=2048:8:16, 411535.10042159643
--dc=4096:8:16, 476994.0395310392
--dc=8192:8:16, 572938.05918519
--dc=16384:8:16, 648232.2565888959
--dc=16:16:16, 415089.29913523427
--dc=32:16:16, 399415.70943802776
--dc=64:16:16, 493037.2406776948
--dc=128:16:16, 480687.66075825976
--dc=256:16:16, 476192.9730554725
--dc=512:16:16, 479057.1025574517
--dc=1024:16:16, 491642.91863074515
--dc=2048:16:16, 540253.5016329903
--dc=4096:16:16, 747039.0161246073
--dc=8192:16:16, 811073.7642328875
--dc=8:32:16, 415773.1483510514
--dc=16:32:16, 399891.09678946395
--dc=32:32:16, 386573.98885497305
--dc=64:32:16, 650255.3917935655
--dc=128:32:16, 638495.798156045
--dc=256:32:16, 646456.4673644507
--dc=512:32:16, 660545.4044533186
--dc=1024:32:16, 753092.0607069395
--dc=2048:32:16, 836103.3046620935
--dc=4096:32:16, 1260755.9409962748
--dc=4:64:16, 416250.61805361585
--dc=8:64:16, 400528.3980289016
--dc=16:64:16, 387166.8596507859
--dc=32:64:16, 367893.2960514346
--dc=64:64:16, 959507.434033234
--dc=128:64:16, 1012523.8815827449
--dc=256:64:16, 1053979.5108267248
--dc=512:64:16, 1121214.4706302285
--dc=1024:64:16, 1216688.6197138906
--dc=2048:64:16, 1470417.0406369606
--dc=128:1:32, 403581.6560626097
--dc=256:1:32, 391408.05098708044
--dc=512:1:32, 372548.73467155325
--dc=1024:1:32, 358894.05701918824
--dc=2048:1:32, 307080.1732439489
--dc=4096:1:32, 295508.06501988997
--dc=8192:1:32, 318455.6940117561
--dc=16384:1:32, 370878.4163504519
--dc=32768:1:32, 421774.97011210874
--dc=65536:1:32, 521927.61653628096
--dc=64:2:32, 365021.53960627207
--dc=128:2:32, 348799.8004776665
--dc=256:2:32, 338089.9302129837
--dc=512:2:32, 327199.41924743005
--dc=1024:2:32, 311781.52457833674
--dc=2048:2:32, 307800.3674954079
--dc=4096:2:32, 330042.6124774492
--dc=8192:2:32, 379228.7879196379
--dc=16384:2:32, 449223.9702737621
--dc=32768:2:32, 561431.3367475469
--dc=32:4:32, 362993.7074502704
--dc=64:4:32, 371709.3550552855
--dc=128:4:32, 362997.38511635375
--dc=256:4:32, 359859.695709945
--dc=512:4:32, 356846.5433744236
--dc=1024:4:32, 352464.34658335627
--dc=2048:4:32, 358851.39461692
--dc=4096:4:32, 404714.99491596816
--dc=8192:4:32, 486033.2843733656
--dc=16384:4:32, 647433.5294171296
--dc=16:8:32, 363384.7932345021
--dc=32:8:32, 341908.62238196237
--dc=64:8:32, 451648.0247887743
--dc=128:8:32, 439299.6212945214
--dc=256:8:32, 442261.1806855314
--dc=512:8:32, 440496.3580742929
--dc=1024:8:32, 445302.507233915
--dc=2048:8:32, 536748.4816298763
--dc=4096:8:32, 659996.0440208026
--dc=8192:8:32, 838537.1649215209
--dc=8:16:32, 364435.7648247908
--dc=16:16:32, 342421.1934462119
--dc=32:16:32, 328808.0174521527
--dc=64:16:32, 584231.2153050608
--dc=128:16:32, 604615.0666490152
--dc=256:16:32, 606647.1317074226
--dc=512:16:32, 607467.467067147
--dc=1024:16:32, 742822.2371690134
--dc=2048:16:32, 882770.8521323124
--dc=4096:16:32, 1112582.039370951
--dc=4:32:32, 364915.0538224842
--dc=8:32:32, 342764.52238823246
--dc=16:32:32, 329537.4508548794
--dc=32:32:32, 313496.7345885876
--dc=64:32:32, 732257.6941658539
--dc=128:32:32, 690545.2059421719
--dc=256:32:32, 937112.2648877539
--dc=512:32:32, 987741.0551332636
--dc=1024:32:32, 1151633.534870612
--dc=2048:32:32, 1482210.5685535371
--dc=2:64:32, 364786.8697717514
--dc=4:64:32, 342957.39386129414
--dc=8:64:32, 329722.86383813905
--dc=16:64:32, 313824.3458808339
--dc=32:64:32, 302187.220813282
--dc=64:64:32, 1119693.6480916394
--dc=128:64:32, 1263672.0633871562
--dc=256:64:32, 1368364.5359103086
--dc=512:64:32, 1499321.0589776775
--dc=1024:64:32, 1646630.8949329064
